@relation 'german_credit-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-weka.filters.unsupervised.attribute.Remove-R22-23-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Remove-R8,11,13,16,18-19'

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute duration {'\'(-inf-0.320896]\'','\'(0.320896-inf)\''}
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute purpose {'new car','used car',furniture/equipment,radio/tv,'domestic appliance',repairs,education,vacation,retraining,business,other}
@attribute credit_amount {'\'(-inf-0.201579]\'','\'(0.201579-inf)\''}
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute employment {unemployed,<1,1<=X<4,4<=X<7,>=7}
@attribute personal_status {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute other_parties {none,'co applicant',guarantor}
@attribute property_magnitude {'real estate','life insurance',car,'no known property'}
@attribute other_payment_plans {bank,stores,none}
@attribute housing {rent,own,'for free'}
@attribute job {'unemp/unskilled non res','unskilled resident',skilled,'high qualif/self emp/mgmt'}
@attribute foreign_worker {yes,no}
@attribute class {good,bad}

@data
<0,'\'(-inf-0.320896]\'','critical/other existing credit',radio/tv,'\'(-inf-0.201579]\'','no known savings',>=7,'male single',none,'real estate',none,own,skilled,yes,good
0<=X<200,'\'(0.320896-inf)\'','existing paid',radio/tv,'\'(0.201579-inf)\'',<100,1<=X<4,'female div/dep/mar',none,'real estate',none,own,skilled,yes,bad
'no checking','\'(-inf-0.320896]\'','existing paid',furniture/equipment,'\'(-inf-0.201579]\'',500<=X<1000,>=7,'male single',none,'life insurance',none,own,skilled,yes,good
0<=X<200,'\'(0.320896-inf)\'','existing paid','used car','\'(0.201579-inf)\'',<100,1<=X<4,'male single',none,car,none,rent,'high qualif/self emp/mgmt',yes,good
'no checking','\'(-inf-0.320896]\'','existing paid',radio/tv,'\'(-inf-0.201579]\'',>=1000,4<=X<7,'male div/sep',none,'real estate',none,own,'unskilled resident',yes,good
0<=X<200,'\'(0.320896-inf)\'','critical/other existing credit','new car','\'(0.201579-inf)\'',<100,unemployed,'male mar/wid',none,car,none,own,'high qualif/self emp/mgmt',yes,bad
0<=X<200,'\'(-inf-0.320896]\'','existing paid','new car','\'(-inf-0.201579]\'',<100,<1,'female div/dep/mar',none,car,none,rent,skilled,yes,bad
<0,'\'(0.320896-inf)\'','existing paid',business,'\'(0.201579-inf)\'',<100,<1,'female div/dep/mar',none,'life insurance',none,rent,skilled,yes,bad
0<=X<200,'\'(-inf-0.320896]\'','existing paid',radio/tv,'\'(-inf-0.201579]\'',<100,1<=X<4,'female div/dep/mar',none,car,none,own,skilled,yes,good
<0,'\'(-inf-0.320896]\'','critical/other existing credit','new car','\'(-inf-0.201579]\'',<100,>=7,'male single',none,car,none,own,'unskilled resident',yes,bad
